date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:31:16	366146/366146	---M--	200	added ('OK')	image/jpeg	etag:%22ebcf3df33f9b4a556bee4393d1fb0cab:1438785242%22	http://media.blizzard.com/wow/legion-6a153ad2/images/class-nelf-female-tank.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/class-nelf-female-tank.jpg	(from http://eu.battle.net/wow/en/legion/)
18:31:19	17773/17773	---M--	200	added ('OK')	image/jpeg	etag:%2275ed853c3f6e8a4b5fd5065527d42f60:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-1-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-1-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:31:20	333475/333475	---M--	200	added ('OK')	image/jpeg	etag:%22fc7312200de622fa1a1ffd181861c45a:1438785242%22	http://media.blizzard.com/wow/legion-6a153ad2/images/class-belf-male-dps.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/class-belf-male-dps.jpg	(from http://eu.battle.net/wow/en/legion/)
18:31:23	387919/387919	---M--	200	added ('OK')	image/jpeg	etag:%22aa6b05231e4aedaaa7df13d08f71d45a:1438785242%22	http://media.blizzard.com/wow/legion-6a153ad2/images/class-base.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/class-base.jpg	(from http://eu.battle.net/wow/en/legion/)
18:31:23	19979/19979	---M--	200	added ('OK')	image/jpeg	etag:%225a43376ac8a0d28f36a58b6749fa85ec:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-2-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-2-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:31:26	17960/17960	---M--	200	added ('OK')	image/jpeg	etag:%22f3de1fe8777ac327c1465fee6663ce88:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-3-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-3-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:31:46	201493/201493	---M--	200	added ('OK')	image/jpeg	etag:%222e6efd3a2a2399758d647a11b47ad595:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-1.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-1.jpg	(from http://eu.battle.net/wow/en/legion/)
18:31:53	211530/211530	---M--	200	added ('OK')	image/jpeg	etag:%222aa297a29bafd6a57d89ec219bf2f2d7:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-2.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-2.jpg	(from http://eu.battle.net/wow/en/legion/)
18:31:55	196957/196957	---M--	200	added ('OK')	image/jpeg	etag:%22182fca9a462e56ad7fdde3cff9b4778a:1438785239%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-3.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-ashbringer-3.jpg	(from http://eu.battle.net/wow/en/legion/)
18:31:57	20324/20324	---M--	200	added ('OK')	image/jpeg	etag:%221404905c18f004572f7f5dd58d1b649a:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-1-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-1-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:32:00	20261/20261	---M--	200	added ('OK')	image/jpeg	etag:%2216d47266ed449208a62d0187de24168e:1438785240%22	http://media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-2-thumb.jpg	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/artifact-maw-2-thumb.jpg	(from http://eu.battle.net/wow/en/legion/)
18:32:02	223003/223003	---M--	200	added ('OK')	image/png	etag:%22320e2b38e0df688f4741633716491017:1438785245%22	http://media.blizzard.com/wow/legion-6a153ad2/images/maw-compact.png	C:/Users/Niki/Desktop/legion/legion/media.blizzard.com/wow/legion-6a153ad2/images/maw-compact.png	(from http://eu.battle.net/wow/en/legion/)
